PORT   GID  HMD            LUN  NUM     LDEV  CM    Serial#  HMO BITs
CL4-A    1  VMWARE_EX        0    1      544   -     445759  54 63
CL4-A    1  VMWARE_EX        1    1      545   -     445759  54 63
CL4-A    1  VMWARE_EX        2    1      546   -     445759  54 63
CL4-A    1  VMWARE_EX        3    1      547   -     445759  54 63
CL4-A    1  VMWARE_EX        4    1      548   -     445759  54 63
CL4-A    1  VMWARE_EX        5    1      701   -     445759  54 63
CL4-A    1  VMWARE_EX        6    1      706   -     445759  54 63
CL4-A    1  VMWARE_EX        7    1     1024   -     445759  54 63
CL4-A    1  VMWARE_EX        8    1     1025   -     445759  54 63
CL4-A    1  VMWARE_EX        9    1     1026   -     445759  54 63
CL4-A    1  VMWARE_EX       10    1     1027   -     445759  54 63
CL4-A    1  VMWARE_EX       11    1     1028   -     445759  54 63
CL4-A    1  VMWARE_EX       12    1     1029   -     445759  54 63
CL4-A    1  VMWARE_EX       13    1     1030   -     445759  54 63
CL4-A    1  VMWARE_EX       14    1     1031   -     445759  54 63
CL4-A    1  VMWARE_EX       15    1     1032   -     445759  54 63
CL4-A    1  VMWARE_EX       16    1     1033   -     445759  54 63
CL4-A    1  VMWARE_EX       17    1     1036   -     445759  54 63
CL4-A    1  VMWARE_EX       18    1     1037   -     445759  54 63
CL4-A    1  VMWARE_EX       19    1     1040   -     445759  54 63
CL4-A    1  VMWARE_EX       20    1     1041   -     445759  54 63
CL4-A    1  VMWARE_EX       21    1     1044   -     445759  54 63
CL4-A    1  VMWARE_EX       22    1     1045   -     445759  54 63
CL4-A    1  VMWARE_EX       23    1     1046   -     445759  54 63
CL4-A    1  VMWARE_EX       24    1     1049   -     445759  54 63
CL4-A    1  VMWARE_EX       25    1     1053   -     445759  54 63
CL4-A    1  VMWARE_EX       26    1     1054   -     445759  54 63
CL4-A    1  VMWARE_EX       27    1     1071   -     445759  54 63
CL4-A    1  VMWARE_EX       28    1     1072   -     445759  54 63
CL4-A    1  VMWARE_EX       29    1     1073   -     445759  54 63
CL4-A    1  VMWARE_EX       30    1     1074   -     445759  54 63
CL4-A    1  VMWARE_EX       31    1     1075   -     445759  54 63
CL4-A    1  VMWARE_EX       32    1     1076   -     445759  54 63
CL4-A    1  VMWARE_EX       33    1     1077   -     445759  54 63
CL4-A    1  VMWARE_EX       34    1     1078   -     445759  54 63
CL4-A    1  VMWARE_EX       35    1     1079   -     445759  54 63
CL4-A    1  VMWARE_EX       36    1     1080   -     445759  54 63
CL4-A    1  VMWARE_EX       37    1     1081   -     445759  54 63
CL4-A    1  VMWARE_EX       38    1     1082   -     445759  54 63
CL4-A    1  VMWARE_EX       39    1     1083   -     445759  54 63
CL4-A    1  VMWARE_EX       40    1     1084   -     445759  54 63
CL4-A    1  VMWARE_EX       41    1     1085   -     445759  54 63
CL4-A    1  VMWARE_EX       42    1     1086   -     445759  54 63
CL4-A    1  VMWARE_EX       43    1     1087   -     445759  54 63
CL4-A    1  VMWARE_EX       44    1     1088   -     445759  54 63
CL4-A    1  VMWARE_EX       45    1     1089   -     445759  54 63
CL4-A    1  VMWARE_EX       46    1     1090   -     445759  54 63
CL4-A    1  VMWARE_EX       47    1     1095   -     445759  54 63
CL4-A    1  VMWARE_EX       48    1     1096   -     445759  54 63
CL4-A    1  VMWARE_EX       49    1     1097   -     445759  54 63
CL4-A    1  VMWARE_EX       50    1     1098   -     445759  54 63
CL4-A    1  VMWARE_EX       51    1     1099   -     445759  54 63
CL4-A    1  VMWARE_EX       52    1     1100   -     445759  54 63
CL4-A    1  VMWARE_EX       53    1     1101   -     445759  54 63
CL4-A    1  VMWARE_EX       54    1     1102   -     445759  54 63
CL4-A    1  VMWARE_EX       55    1     1103   -     445759  54 63
CL4-A    1  VMWARE_EX       56    1     1104   -     445759  54 63
CL4-A    1  VMWARE_EX       57    1     1117   -     445759  54 63
CL4-A    1  VMWARE_EX       58    1     1120   -     445759  54 63
CL4-A    1  VMWARE_EX       59    1     3290   -     445759  54 63
CL4-A    1  VMWARE_EX       60    1     1121   -     445759  54 63
CL4-A    1  VMWARE_EX       61    1     1122   -     445759  54 63
CL4-A    1  VMWARE_EX       62    1     1123   -     445759  54 63
CL4-A    1  VMWARE_EX       63    1     1124   -     445759  54 63
CL4-A    1  VMWARE_EX       64    1     1125   -     445759  54 63
CL4-A    1  VMWARE_EX       65    1     1152   -     445759  54 63
CL4-A    1  VMWARE_EX       66    1     1153   -     445759  54 63
CL4-A    1  VMWARE_EX       67    1     1154   -     445759  54 63
CL4-A    1  VMWARE_EX       68    1     1155   -     445759  54 63
CL4-A    1  VMWARE_EX       69    1     1059   -     445759  54 63
CL4-A    1  VMWARE_EX       70    1     1060   -     445759  54 63
CL4-A    1  VMWARE_EX       71    1     1061   -     445759  54 63
CL4-A    1  VMWARE_EX       72    1     1062   -     445759  54 63
CL4-A    1  VMWARE_EX       73    1     1110   -     445759  54 63
CL4-A    1  VMWARE_EX       74    1     1111   -     445759  54 63
CL4-A    1  VMWARE_EX       75    1     1114   -     445759  54 63
CL4-A    1  VMWARE_EX       76    1     1115   -     445759  54 63
CL4-A    1  VMWARE_EX       77    1     1116   -     445759  54 63
CL4-A    1  VMWARE_EX       78    1     1130   -     445759  54 63
